,Position,Velocity,action
0,-0.5770789384841919,0.0004023613000754267,1
1,-0.5762771964073181,0.0008017439395189285,1
2,-0.575082004070282,0.001195189543068409,1
3,-0.573502242565155,0.001579780480824411,1
4,-0.5715495347976685,0.0019526596879586577,1
5,-0.5692384839057922,0.0023110515903681517,1
6,-0.5665862560272217,0.0026522811967879534,1
7,-0.5636124610900879,0.0029737940058112144,1
8,-0.5603392720222473,0.003273176262155175,1
9,-0.5567910671234131,0.003548172302544117,1
10,-0.5529943704605103,0.0037967036478221416,1
11,-0.5489774942398071,0.004016885068267584,1
12,-0.5447704792022705,0.004207041580229998,1
13,-0.540404736995697,0.004365722648799419,1
14,-0.5359130501747131,0.004491713829338551,1
15,-0.5303289890289307,0.005584049504250288,2
16,-0.5236944556236267,0.006634522695094347,2
17,-0.5160592198371887,0.007635239977389574,2
18,-0.5074805021286011,0.00857869815081358,2
19,-0.4980226457118988,0.00945785827934742,2
20,-0.4877564311027527,0.010266225785017014,2
21,-0.47675850987434387,0.010997925885021687,2
22,-0.465110719203949,0.011647778563201427,2
23,-0.45289936661720276,0.01221136562526226,2
24,-0.44021427631378174,0.012685086578130722,2
25,-0.42714807391166687,0.013066205196082592,2
26,-0.41379520297050476,0.013352876529097557,2
27,-0.40025103092193604,0.01354416273534298,2
28,-0.3866110146045685,0.01364002376794815,2
29,-0.37296971678733826,0.013641292229294777,2
30,-0.3594200909137726,0.013549631461501122,2
31,-0.3460526168346405,0.013367476873099804,2
32,-0.33295464515686035,0.013097955845296383,2
33,-0.3202098309993744,0.012744811363518238,2
34,-0.30789753794670105,0.012312301434576511,2
35,-0.2960924208164215,0.011805105954408646,2
36,-0.2848641872406006,0.011228230781853199,2
37,-0.2742772698402405,0.010586916469037533,2
38,-0.2643907368183136,0.009886546060442924,2
39,-0.255258172750473,0.009132575243711472,2
40,-0.24692769348621368,0.008330460637807846,2
41,-0.23944209516048431,0.00748561043292284,2
42,-0.23283874988555908,0.006603339686989784,2
43,-0.22714990377426147,0.005688846576958895,2
44,-0.22240270674228668,0.0047471956349909306,2
45,-0.21861939132213593,0.003783314721658826,2
46,-0.215817391872406,0.0028020027093589306,2
47,-0.21400944888591766,0.0018079448491334915,2
